sample,time_s,segment_index,q1_ref_rad,q2_ref_rad,q3_ref_rad,q4_ref_m,q1_actual_rad,q2_actual_rad,q3_actual_rad,q4_actual_m,q1_error_rad,q2_error_rad,q3_error_rad,q4_error_m,q1dot_ref,q2dot_ref,q3dot_ref,q4dot_ref,q1dot_actual,q2dot_actual,q3dot_actual,q4dot_actual,q1dot_error,q2dot_error,q3dot_error,q4dot_error,q1ddot_cmd,q2ddot_cmd,q3ddot_cmd,q4ddot_cmd,stamp_ref_x_m,stamp_ref_y_m,stamp_ref_z_m,stamp_actual_x_m,stamp_actual_y_m,stamp_actual_z_m,stamp_error_x_m,stamp_error_y_m,stamp_error_z_m,stamp_error_norm_m
1,0,1,0,1.60749251715363,-1.98231317286238,0,0,1.60749251715363,-1.98231317286238,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0.38,0,0.28,0.38,0,0.28,0,0,0,0
2,0.02,1,4.35765152085472e-06,1.60748558317868,-1.98231264179413,0,0,1.60749251715363,-1.98231317286238,0,4.35765152085472e-06,-6.93397494977432e-06,5.31068254483458e-07,0,0.000650356463909261,-0.0010348591225197,7.92591308511758e-05,0,0,0,0,0,0.000650356463909261,-0.0010348591225197,7.92591308511758e-05,0,0.0134428944302707,-0.0213905799453715,0.00163828944247186,0,0.380001029075508,1.65591206228773e-06,0.27999827608239,0.38,0,0.28,1.02907550808551e-06,1.65591206228773e-06,-1.72391761021906e-06,2.60248594351532e-06
3,0.04,1,3.43367332880766e-05,1.60743787991444,-1.98230898823474,0,5.37715777210828e-06,1.60748396092165,-1.98231251754661,0,2.89595755159683e-05,-4.60810072171469e-05,3.52931186609062e-06,0,0.00254913722248119,-0.00405623385886307,0.000310664092519005,0,0.000268857888605414,-0.00042781159890743,3.27657888494373e-05,0,0.00228027933387578,-0.00362842225995564,0.000277898303669568,0,0.0485015442291124,-0.0771765459208274,0.00591089726000042,0,0.380008108252582,1.30482370655034e-05,0.279986415943128,0.380001269833046,2.04332678151347e-06,0.279997872757458,6.83841953519337e-06,1.100491028399e-05,-1.1456814329347e-05,1.72953932211763e-05
4,0.06,1,0.000114130691556264,1.60731091030589,-1.98229926372191,0,3.01549332358615e-05,1.60744453407131,-1.98230949787193,0,8.39757583204021e-05,-0.00013362376541326,1.02341500183289e-05,0,0.00561910373638406,-0.00894122082992459,0.000684801801817001,0,0.00123888877318766,-0.00197134251732398,0.000150983734049446,0,0.0043802149631964,-0.00696987831260062,0.000533818067767555,0,0.0960018750959682,-0.152759942793338,0.011699776357184,0,0.380026946373622,4.33727383879583e-05,0.279954846618246,0.380007120825693,1.14590893611241e-05,0.279988070342379,1.98255479286757e-05,3.19136490268343e-05,-3.32237241327249e-05,5.01532570241214e-05
5,0.08,1,0.000266404127265407,1.60706861002473,-1.98228070611414,0,9.33334587380021e-05,1.60734400324384,-1.9823017982867,0,0.000173070668527405,-0.000275393219111963,2.1092172561632e-05,0,0.00978461001348883,-0.0155694507468896,0.00119245325974809,0,0.00315892627510703,-0.00502654137319074,0.000384979261193126,0,0.00662568373838181,-0.0105429093736989,0.00080747399855496,0,0.149820741620377,-0.238397509385174,0.0182586972272624,0,0.38006287882308,0.000101250321934125,0.279894594852024,0.380022037056898,3.54687712181726e-05,0.279963074985008,4.08417661814098e-05,6.57815507159523e-05,-6.8480132983828e-05,0.000103367262191156
6,0.1,1,0.000512324646984943,1.6066772967875,-1.98225073570909,0,0.000216440280888293,1.60714811341262,-1.98228679522259,0,0.000295884366096649,-0.000470816625125048,3.60595134987207e-05,0,0.0149716026088692,-0.0238230884112344,0.0018245935515046,0,0.00615534110751456,-0.00979449156089423,0.000750153205738374,0,0.00881626150135465,-0.0140285968503401,0.00107444034576622,0,0.205913666636758,-0.327653599519307,0.0250947582651965,0,0.380120862475158,0.000194745303717889,0.279797269327175,0.380051091147594,8.22583662043902e-05,0.279914365626985,6.97713275645828e-05,0.000112486937513499,-0.000117096299809882,0.000176728301894337
7,0.12,1,0.00087159471385781,1.60610561967382,-1.98220695136186,0,0.000421912569693288,1.6068211621416,-1.98226175425517,0,0.000449682144164522,-0.000715542467780939,5.48028933109457e-05,0,0.0211076206248016,-0.0335868327147258,0.00257239184646828,0,0.0102736144402497,-0.0163475635512804,0.0012520483710423,0,0.0108340061845519,-0.0172392691634454,0.00132034347542598,0,0.26164833810749,-0.416339630047002,0.0318871588396141,0,0.38020546752676,0.000331385159591432,0.279655041637153,0.380099551676444,0.000160368788102836,0.279833053595768,0.000105915850316218,0.000171016371488596,-0.000178011958615609,0.000268613149483599
8,0.14,1,0.0013624834985445,1.60532450844457,-1.98214712660332,0,0.000732044193741278,1.60632767501855,-1.98222395842421,0,0.000630439304803225,-0.0010031665739878,7.68318208950181e-05,0,0.0281217957107651,-0.0447479166394218,0.0034272113982103,0,0.0155065812023995,-0.0246743561522204,0.00188979154783459,0,0.0126152145083656,-0.0200735604872013,0.00153741985037572,0,0.315348220647635,-0.501787867142807,0.0384315790970161,0,0.380320867192094,0.000518181226345259,0.279460626428326,0.380172619288557,0.000278303208282785,0.279710292894453,0.000148247903537346,0.000239878018062474,-0.00024966646612723,0.000376632777067076
9,0.16,1,0.00200185873016712,1.60430712286008,-1.98206920575843,0,0.00116831510604832,1.60563347274865,-1.98217078996161,0,0.000833543624118802,-0.00132634988857117,0.00010158420318751,0,0.0359448520634416,-0.0571961072576709,0.00438060954449123,0,0.0218135456153522,-0.0347101134950765,0.00265842312977491,0,0.0141313064480894,-0.0224859937625944,0.00172218641471632,0,0.365980491373668,-0.582354864109004,0.0446021486130775,0,0.380470826119668,0.000761649862263455,0.279207261101134,0.380275249166135,0.0004442815201993,0.279537537671925,0.000195576953532395,0.000317368342064156,-0.000330276570791321,0.000498051827133721
10,0.18,1,0.00280521854725344,1.60302880199835,-1.98197130006456,0,0.00175097821490483,1.60470632853311,-1.98209978063957,0,0.00105424033234861,-0.00167752653475794,0.000128480575018575,0,0.0445091064267157,-0.0708237057321129,0.00542433770726105,0,0.0291331554428256,-0.0463572107772566,0.00355046610203646,0,0.0153759509838901,-0.0244664949548563,0.00187387160522459,0,0.412943052912662,-0.65708255257292,0.0503254896063493,0,0.380658688284059,0.00106783361356602,0.278888685422148,0.380412031530867,0.000666093860629586,0.279306696764263,0.000246656753192132,0.000401739752936436,-0.000418011342114499,0.000630053858904997
